市场,config,tick,累积成交笔数,平均信念,模拟市场价格,差距,真实结局
MicroStrategy继续购买比特币,rq1_m07_s0,5,15.0,0.727,0.8487500000000001,-0.12175000000000014,
MicroStrategy继续购买比特币,rq1_m07_s0,6,16.0,0.7224999999999999,0.8525,-0.13000000000000012,
MicroStrategy继续购买比特币,rq1_m07_s0,7,19.0,0.7595,0.849,-0.08950000000000002,
MicroStrategy继续购买比特币,rq1_m07_s0,8,21.0,0.7434999999999999,0.83025,-0.0867500000000001,
MicroStrategy继续购买比特币,rq1_m07_s0,9,24.0,0.71,0.83475,-0.12475000000000003,
MicroStrategy继续购买比特币,rq1_m07_s0,10,25.0,0.7110000000000001,0.835,-0.12399999999999989,
MicroStrategy继续购买比特币,rq1_m07_s0,11,28.0,0.7015,0.835,-0.13349999999999995,
MicroStrategy继续购买比特币,rq1_m07_s0,12,29.0,0.688,0.8344999999999999,-0.14649999999999996,
MicroStrategy继续购买比特币,rq1_m07_s0,13,34.0,0.6775,0.8215,-0.14400000000000002,
MicroStrategy继续购买比特币,rq1_m07_s0,14,34.0,0.6615,0.8150000000000001,-0.15350000000000008,
MicroStrategy继续购买比特币,rq1_m07_s0,15,35.0,0.616,0.8082500000000001,-0.19225000000000014,
MicroStrategy继续购买比特币,rq1_m07_s0,16,43.0,0.596,0.798,-0.20200000000000007,
MicroStrategy继续购买比特币,rq1_m07_s0,17,45.0,0.5625,0.7685000000000001,-0.20600000000000007,
MicroStrategy继续购买比特币,rq1_m07_s0,18,47.0,0.49749999999999994,0.76,-0.26250000000000007,
MicroStrategy继续购买比特币,rq1_m07_s0,19,47.0,0.4463157894736842,0.76,-0.3136842105263158,
NFL酋长对巨人比赛结果,rq1_m08_s0,0,6.0,0.6685,0.74375,-0.07525000000000004,
NFL酋长对巨人比赛结果,rq1_m08_s0,1,6.0,0.6605000000000001,0.75,-0.08949999999999991,
NFL酋长对巨人比赛结果,rq1_m08_s0,2,7.0,0.6715,0.7615000000000001,-0.09000000000000008,
NFL酋长对巨人比赛结果,rq1_m08_s0,3,11.0,0.6705,0.7655000000000001,-0.09500000000000008,
NFL酋长对巨人比赛结果,rq1_m08_s0,4,13.0,0.6679999999999999,0.77075,-0.10275000000000012,
NFL酋长对巨人比赛结果,rq1_m08_s0,5,13.0,0.6775,0.77,-0.09250000000000003,
NFL酋长对巨人比赛结果,rq1_m08_s0,6,17.0,0.674,0.7775000000000001,-0.10350000000000004,
NFL酋长对巨人比赛结果,rq1_m08_s0,7,23.0,0.6836842105263158,0.7794736842105263,-0.09578947368421054,
NFL酋长对巨人比赛结果,rq1_m08_s0,8,30.0,0.706,0.8005000000000001,-0.09450000000000014,
