series,config,market_title,cum_trades,trade_progress,yes_price,truth,tick,ts,volume,slug,real_cum_trades,market,frac,yes_mid,module
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,21.265822784810126,0.379746835443038,0.6849779887936791,1.0,,2025-09-05 21:43:00+00:00,6916.481786,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,965.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,21.974683544303797,0.3924050632911392,0.7149604159811433,1.0,,2025-09-06 00:44:28+00:00,16835.181538,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,996.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,22.68354430379747,0.4050632911392405,0.7508754488160586,1.0,,2025-09-06 05:24:20+00:00,31269.371033999996,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,1027.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,23.39240506329114,0.4177215189873418,0.7286172125024125,1.0,,2025-09-06 10:25:14+00:00,4181.367359,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,1058.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,24.10126582278481,0.43037974683544306,0.7129864108680362,1.0,,2025-09-06 13:21:16+00:00,9558.750915,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,1089.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,24.81012658227848,0.4430379746835443,0.7366534536980401,1.0,,2025-09-06 17:00:42+00:00,14632.81872,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,1120.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,25.518987341772153,0.45569620253164556,0.7776585530412126,1.0,,2025-09-06 21:31:36+00:00,34972.912768,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,1151.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,26.227848101265824,0.46835443037974683,0.8736860564087757,1.0,,2025-09-06 22:16:20+00:00,10222.359782,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,1182.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,26.936708860759495,0.4810126582278481,0.8540207028687473,1.0,,2025-09-06 22:32:26+00:00,38913.190328,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,1213.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,27.645569620253166,0.4936708860759494,0.9039854482656741,1.0,,2025-09-06 23:42:14+00:00,55040.447552,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,1245.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,28.354430379746837,0.5063291139240507,0.9396472987613236,1.0,,2025-09-07 00:27:56+00:00,17745.413156,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,1276.0,,,,
