series,config,market,tick,frac,yes_mid,truth,cum_trades,trade_progress
100轮,c3_ethereum_t100_s0,ethereum,3,0.030303030303030304,0.585,0.0,3.0,0.009615384615384616
100轮,c3_ethereum_t100_s0,ethereum,4,0.04040404040404041,0.585,0.0,6.0,0.019230769230769232
100轮,c3_ethereum_t100_s0,ethereum,5,0.050505050505050504,0.585,0.0,7.0,0.022435897435897436
100轮,c3_ethereum_t100_s0,ethereum,6,0.06060606060606061,0.585,0.0,7.0,0.022435897435897436
100轮,c3_ethereum_t100_s0,ethereum,7,0.0707070707070707,0.52,0.0,19.0,0.060897435897435896
100轮,c3_ethereum_t100_s0,ethereum,8,0.08080808080808081,0.5700000000000001,0.0,23.0,0.07371794871794872
100轮,c3_ethereum_t100_s0,ethereum,9,0.09090909090909091,0.5700000000000001,0.0,24.0,0.07692307692307693
100轮,c3_ethereum_t100_s0,ethereum,10,0.10101010101010101,0.555,0.0,24.0,0.07692307692307693
100轮,c3_ethereum_t100_s0,ethereum,11,0.1111111111111111,0.555,0.0,27.0,0.08653846153846154
100轮,c3_ethereum_t100_s0,ethereum,12,0.12121212121212122,0.55,0.0,34.0,0.10897435897435898
100轮,c3_ethereum_t100_s0,ethereum,13,0.13131313131313133,0.55,0.0,34.0,0.10897435897435898
100轮,c3_ethereum_t100_s0,ethereum,14,0.1414141414141414,0.55,0.0,36.0,0.11538461538461539
100轮,c3_ethereum_t100_s0,ethereum,15,0.15151515151515152,0.55,0.0,38.0,0.12179487179487179
100轮,c3_ethereum_t100_s0,ethereum,16,0.16161616161616163,0.55,0.0,39.0,0.125
100轮,c3_ethereum_t100_s0,ethereum,17,0.1717171717171717,0.55,0.0,40.0,0.1282051282051282
100轮,c3_ethereum_t100_s0,ethereum,18,0.18181818181818182,0.55,0.0,42.0,0.1346153846153846
100轮,c3_ethereum_t100_s0,ethereum,19,0.1919191919191919,0.55,0.0,43.0,0.13782051282051283
100轮,c3_ethereum_t100_s0,ethereum,20,0.20202020202020202,0.55,0.0,44.0,0.14102564102564102
100轮,c3_ethereum_t100_s0,ethereum,21,0.21212121212121213,0.47000000000000003,0.0,45.0,0.14423076923076922
100轮,c3_ethereum_t100_s0,ethereum,22,0.2222222222222222,0.47000000000000003,0.0,48.0,0.15384615384615385
100轮,c3_ethereum_t100_s0,ethereum,23,0.23232323232323232,0.1,0.0,51.0,0.16346153846153846
100轮,c3_ethereum_t100_s0,ethereum,24,0.24242424242424243,0.1,0.0,55.0,0.1762820512820513
100轮,c3_ethereum_t100_s0,ethereum,25,0.25252525252525254,0.1,0.0,58.0,0.1858974358974359
100轮,c3_ethereum_t100_s0,ethereum,26,0.26262626262626265,0.1,0.0,62.0,0.1987179487179487
100轮,c3_ethereum_t100_s0,ethereum,27,0.2727272727272727,0.08,0.0,67.0,0.21474358974358973
100轮,c3_ethereum_t100_s0,ethereum,28,0.2828282828282828,0.08,0.0,67.0,0.21474358974358973
100轮,c3_ethereum_t100_s0,ethereum,29,0.29292929292929293,0.08,0.0,69.0,0.22115384615384615
100轮,c3_ethereum_t100_s0,ethereum,30,0.30303030303030304,0.09,0.0,72.0,0.23076923076923078
100轮,c3_ethereum_t100_s0,ethereum,31,0.31313131313131315,0.095,0.0,73.0,0.23397435897435898
100轮,c3_ethereum_t100_s0,ethereum,32,0.32323232323232326,0.095,0.0,76.0,0.24358974358974358
100轮,c3_ethereum_t100_s0,ethereum,33,0.3333333333333333,0.095,0.0,78.0,0.25
100轮,c3_ethereum_t100_s0,ethereum,34,0.3434343434343434,0.1,0.0,82.0,0.26282051282051283
100轮,c3_ethereum_t100_s0,ethereum,35,0.35353535353535354,0.1,0.0,86.0,0.27564102564102566
100轮,c3_ethereum_t100_s0,ethereum,36,0.36363636363636365,0.1,0.0,90.0,0.28846153846153844
100轮,c3_ethereum_t100_s0,ethereum,37,0.37373737373737376,0.1,0.0,96.0,0.3076923076923077
100轮,c3_ethereum_t100_s0,ethereum,38,0.3838383838383838,0.59,0.0,101.0,0.32371794871794873
100轮,c3_ethereum_t100_s0,ethereum,39,0.3939393939393939,0.59,0.0,102.0,0.3269230769230769
