模块,市场,条件,tick,累积成交笔数,平均信念,模拟市场价格,差距
画像分布,特斯拉 Robotaxi,均匀分布,15,46.0,0.25052631578947365,0.41500000000000004,-0.16447368421052638
画像分布,特斯拉 Robotaxi,均匀分布,16,48.0,0.24699999999999997,0.409,-0.162
画像分布,特斯拉 Robotaxi,均匀分布,17,53.0,0.23850000000000002,0.3975,-0.159
画像分布,特斯拉 Robotaxi,均匀分布,18,55.0,0.22789473684210526,0.39315789473684215,-0.1652631578947369
画像分布,特斯拉 Robotaxi,均匀分布,19,56.0,0.20421052631578948,0.3786842105263158,-0.1744736842105263
思考模式,以太坊 5000 美元,开启思考,0,4.0,0.38,0.5725,-0.1925
思考模式,以太坊 5000 美元,开启思考,1,5.0,0.375,0.5710000000000001,-0.19600000000000006
思考模式,以太坊 5000 美元,开启思考,2,5.0,0.3642105263157895,0.5697368421052632,-0.20552631578947372
思考模式,以太坊 5000 美元,开启思考,3,8.0,0.3585,0.57225,-0.21375000000000005
思考模式,以太坊 5000 美元,开启思考,4,11.0,0.339,0.55,-0.21100000000000002
思考模式,以太坊 5000 美元,开启思考,5,11.0,0.3042105263157895,0.55,-0.24578947368421056
思考模式,以太坊 5000 美元,开启思考,6,12.0,0.29500000000000004,0.548,-0.253
思考模式,以太坊 5000 美元,开启思考,7,13.0,0.2885,0.5355000000000001,-0.2470000000000001
思考模式,以太坊 5000 美元,开启思考,8,18.0,0.27799999999999997,0.5282500000000001,-0.25025000000000014
思考模式,以太坊 5000 美元,开启思考,9,22.0,0.2475,0.5162500000000001,-0.2687500000000001
思考模式,以太坊 5000 美元,开启思考,10,23.0,0.21800000000000003,0.5085,-0.2904999999999999
思考模式,以太坊 5000 美元,开启思考,11,23.0,0.194,0.5085,-0.31449999999999995
思考模式,以太坊 5000 美元,开启思考,12,24.0,0.1955,0.51,-0.3145
思考模式,以太坊 5000 美元,开启思考,13,32.0,0.20400000000000001,0.5349999999999999,-0.3309999999999999
思考模式,以太坊 5000 美元,开启思考,14,38.0,0.1885,0.61,-0.4215
思考模式,以太坊 5000 美元,开启思考,15,41.0,0.2,0.61,-0.41
思考模式,以太坊 5000 美元,开启思考,16,41.0,0.186,0.61,-0.424
思考模式,以太坊 5000 美元,开启思考,17,44.0,0.16157894736842104,0.61,-0.44842105263157894
思考模式,以太坊 5000 美元,开启思考,18,48.0,0.139,0.61,-0.471
思考模式,以太坊 5000 美元,开启思考,19,51.0,0.124,0.43,-0.306
思考模式,以太坊 5000 美元,关闭思考,0,1.0,0.5309999999999999,0.57625,-0.04525000000000012
