market,cluster,pnl
robotaxi,Archetype-C0,2.047619047619037
robotaxi,Archetype-C1,0.1981676623622235
robotaxi,Archetype-C0,11.491228070175396
robotaxi,Archetype-C4,17.90816024440244
robotaxi,Archetype-C4,-0.07741251325556675
robotaxi,Archetype-C3,0.472413793103442
robotaxi,Archetype-C2,0.26473511364618396
robotaxi,Archetype-C4,3.5406403940886833
robotaxi,Archetype-C4,4.09322032477246
robotaxi,Archetype-C4,15.526315789473529
robotaxi,Archetype-C0,17.299999999999727
robotaxi,Archetype-C1,5.963953488372113
robotaxi,Archetype-C4,-10.051020408163254
robotaxi,Archetype-C3,0.09500000000000064
robotaxi,Archetype-C0,0.8196428571428562
robotaxi,Archetype-C0,0.2850000000000019
robotaxi,Archetype-C1,0.4841830413140755
robotaxi,Archetype-C4,-5.2070393374741
robotaxi,Archetype-C1,0.9500000000000028
robotaxi,Archetype-C2,-0.056967213114752724
robotaxi,Archetype-C4,0.0
robotaxi,Archetype-C0,0.5
robotaxi,Archetype-C2,0.9017857142857117
robotaxi,Archetype-C3,-0.45534320325203126
robotaxi,Archetype-C3,1.1182723675215627
robotaxi,Archetype-C0,2.5
robotaxi,Archetype-C4,3.550000000000068
robotaxi,Archetype-C0,6.410714285714334
robotaxi,Archetype-C3,-0.766864111498256
robotaxi,Archetype-C1,-28.393977591036418
robotaxi,Archetype-C4,1.2383771929824547
robotaxi,Archetype-C4,15.581421330908427
robotaxi,Archetype-C4,-5.637433511664007
robotaxi,Archetype-C0,82.04658662205293
robotaxi,Archetype-C0,-1.7857142857142776
robotaxi,Archetype-C4,-1.1610917537746843
robotaxi,Archetype-C4,9.197830359721536
robotaxi,Archetype-C2,0.13851136964568944
robotaxi,Archetype-C1,-25.110566425362776
robotaxi,Archetype-C5,-0.024590163934426812
robotaxi,Archetype-C4,41.244161730545784
robotaxi,Archetype-C1,-66.03094837598633
robotaxi,Archetype-C1,-0.12295081967213406
robotaxi,Archetype-C4,2.263731527093597
robotaxi,Archetype-C3,7.741525423728831
robotaxi,Archetype-C2,-0.04098360655737743
robotaxi,Archetype-C0,0.15431034482758577
robotaxi,Archetype-C2,-1.4633762200532363
robotaxi,Archetype-C2,-0.4806632653061236
robotaxi,Archetype-C1,-10.558248299319757
robotaxi,Archetype-C0,-36.28792527263704
robotaxi,Archetype-C1,-3.876330532212883
robotaxi,Archetype-C2,7.5
robotaxi,Archetype-C3,0.7074658055694272
robotaxi,Archetype-C1,3.0
robotaxi,Archetype-C4,-0.21052632999999332
robotaxi,Archetype-C4,0.22000000000000064
robotaxi,Archetype-C0,0.7738125502380946
robotaxi,Archetype-C1,-23.450426975643552
robotaxi,Archetype-C1,0.7478688524590211
robotaxi,Archetype-C4,1.172033050007883
robotaxi,Archetype-C0,199.44822057504734
robotaxi,Archetype-C4,7.720731707317071
robotaxi,Archetype-C1,28.440196078431427
robotaxi,Archetype-C3,2.2499997700000023
robotaxi,Archetype-C3,5.7931034482758434
robotaxi,Archetype-C3,12.581895346033278
robotaxi,Archetype-C3,2.4810344827586164
robotaxi,Archetype-C4,11.778415051950375
robotaxi,Archetype-C4,5.349999999999994
robotaxi,Archetype-C1,1.2290909090909103
robotaxi,Archetype-C4,7.0749154834347365
robotaxi,Archetype-C1,24.107106426610926
robotaxi,Archetype-C4,0.18242520325203415
robotaxi,Archetype-C4,1.4124999999999943
robotaxi,Archetype-C0,1.5250000000000057
robotaxi,Archetype-C0,6.900000000000006
robotaxi,Archetype-C0,-0.8903260869565237
robotaxi,Archetype-C0,68.0673079423077
robotaxi,Archetype-C1,45.20470835078413
robotaxi,Archetype-C3,7.103150260756195
robotaxi,Archetype-C5,444.14223776753715
robotaxi,Archetype-C4,5.6875716159218825
robotaxi,Archetype-C4,-1288.5045248868792
robotaxi,Archetype-C4,0.03478260869565375
robotaxi,Archetype-C1,-0.28476361813559947
robotaxi,Archetype-C0,12.0
robotaxi,Archetype-C3,0.5371478667445935
robotaxi,Archetype-C3,2.765311016949152
robotaxi,Archetype-C1,9.198039215686265
robotaxi,Archetype-C1,0.5436206896551727
robotaxi,Archetype-C3,3.538416510777715
robotaxi,Archetype-C4,51.02639327339966
robotaxi,Archetype-C1,42.03846153846155
robotaxi,Archetype-C4,8.901078431372525
robotaxi,Archetype-C1,0.875
robotaxi,Archetype-C4,-7.829964680972203
robotaxi,Archetype-C4,2.75
robotaxi,Archetype-C1,0.5383390804597692
robotaxi,Archetype-C1,9.5
robotaxi,Archetype-C4,-1.4161538461538452
robotaxi,Archetype-C2,-1.100147058823529
robotaxi,Archetype-C1,-184.23759847142037
robotaxi,Archetype-C0,3.2518567639257157
robotaxi,Archetype-C1,47.68366452367036
robotaxi,Archetype-C3,-1.8089401744138947
robotaxi,Archetype-C4,-11.826654940375185
robotaxi,Archetype-C3,0.7115789473684195
robotaxi,Archetype-C0,-1.7225609756097668
robotaxi,Archetype-C0,113.56891339352478
ethereum,Archetype-C4,-2.511299435028249
ethereum,Archetype-C4,-0.5208333333333321
ethereum,Archetype-C1,1.2695399393326632
ethereum,Archetype-C2,9.274468085106378
ethereum,Archetype-C4,-1.9173913043478237
ethereum,Archetype-C2,4.861702127659612
ethereum,Archetype-C2,8.779919419782601
ethereum,Archetype-C1,1.3500000000000085
ethereum,Archetype-C3,-0.8944986690328278
ethereum,Archetype-C5,-0.36170212765961196
ethereum,Archetype-C5,-0.20486111111111072
ethereum,Archetype-C3,5.474576271186436
ethereum,Archetype-C1,2.3613193403298283
ethereum,Archetype-C4,-11.29378531073445
ethereum,Archetype-C2,-0.8976449275362484
ethereum,Archetype-C1,-0.0716558741905633
ethereum,Archetype-C2,-54.37288135593235
ethereum,Archetype-C4,-5.5449152542372815
ethereum,Archetype-C2,104.45646702473823
ethereum,Archetype-C1,-12.75
ethereum,Archetype-C4,0.5053260869565221
ethereum,Archetype-C3,32.48546012259931
ethereum,Archetype-C3,0.20689655172412813
ethereum,Archetype-C3,-11.343278784336633
ethereum,Archetype-C2,3.090217391304364
ethereum,Archetype-C1,-0.2717391304347885
ethereum,Archetype-C3,-3.9823728813559356
ethereum,Archetype-C1,-0.03804347826086918
ethereum,Archetype-C1,-1.016949152542372
ethereum,Archetype-C3,-87.84745762711873
ethereum,Archetype-C0,2.2576086956521806
ethereum,Archetype-C4,-0.03666666666666707
ethereum,Archetype-C1,1.0836956521739225
ethereum,Archetype-C1,0.0
ethereum,Archetype-C2,-594.7012405649912
ethereum,Archetype-C1,0.32000000000000384
ethereum,Archetype-C2,-55.0
ethereum,Archetype-C2,-107.91990735779837
ethereum,Archetype-C3,0.0036509751773063925
ethereum,Archetype-C2,-86.67045221831631
ethereum,Archetype-C1,1.478260869565247
ethereum,Archetype-C0,-1.139672706019871
ethereum,Archetype-C2,1.8804347826086882
ethereum,Archetype-C3,0.389491525423729
ethereum,Archetype-C4,0.2505423728813554
ethereum,Archetype-C4,21.203913043478337
ethereum,Archetype-C4,-2.1120654938632377
ethereum,Archetype-C3,0.06795097132285122
ethereum,Archetype-C2,-103.29787234042396
ethereum,Archetype-C3,0.0
ethereum,Archetype-C4,0.25150323774283123
ethereum,Archetype-C4,-0.2963498304039458
ethereum,Archetype-C2,-1.3391666666666637
ethereum,Archetype-C2,1.716304347826096
ethereum,Archetype-C5,5.487876503237715
ethereum,Archetype-C2,3.3999999999999915
ethereum,Archetype-C3,-15.282485875706186
ethereum,Archetype-C3,9.0
ethereum,Archetype-C4,-286.9223650886415
ethereum,Archetype-C0,0.19117021276595736
ethereum,Archetype-C1,-1.551724137931032
ethereum,Archetype-C2,-0.12878815911193087
