market,notional
ethereum,5.8999999999999995
ethereum,1.18
ethereum,249.96827345364505
ethereum,0.8518888888888935
ethereum,1.18
ethereum,1.77
ethereum,2950.0
ethereum,9.0
ethereum,1.2
ethereum,40.46333333333334
ethereum,59.148111111111106
ethereum,3.0
ethereum,5.5
ethereum,200.0
ethereum,24.444444444444446
ethereum,80.0
ethereum,118.0
ethereum,1.18
ethereum,2.3652739130434792
ethereum,8.85
ethereum,45.43460140999999
ethereum,5.8999999999999995
ethereum,8.0
ethereum,7.0
ethereum,59.0
ethereum,10.0
ethereum,635.0
ethereum,20.0
ethereum,0.59
ethereum,9.711349555555572
ethereum,26.48
ethereum,35.4
ethereum,5.8999999999999995
ethereum,0.40909090909090917
ethereum,20.0
ethereum,14.42989859000143
ethereum,74.07010140999857
ethereum,4.0
