base,rounds,frac,yes_mid
ethereum,100,0.797979797979798,0.46166666666666667
ethereum,100,0.8080808080808082,0.46166666666666667
ethereum,100,0.8181818181818182,0.445
ethereum,100,0.8282828282828284,0.4366666666666667
ethereum,100,0.8383838383838385,0.43500000000000005
ethereum,100,0.8484848484848485,0.40166666666666667
ethereum,100,0.8585858585858587,0.3983333333333334
ethereum,100,0.8686868686868687,0.38000000000000006
ethereum,100,0.8787878787878789,0.365
ethereum,100,0.888888888888889,0.37000000000000005
ethereum,100,0.8989898989898991,0.3233333333333333
ethereum,100,0.9090909090909092,0.3233333333333333
ethereum,100,0.9191919191919192,0.22333333333333336
ethereum,100,0.9292929292929294,0.22666666666666668
ethereum,100,0.9393939393939394,0.21666666666666667
ethereum,100,0.9494949494949496,0.19666666666666668
ethereum,100,0.9595959595959597,0.19666666666666668
ethereum,100,0.9696969696969697,0.19666666666666668
ethereum,100,0.9797979797979799,0.19499999999999998
ethereum,100,0.98989898989899,0.19333333333333336
ethereum,100,1.0,0.19333333333333336
